id,user,uid,version,changeset,timestamp
268403703,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:30Z
268403707,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:30Z
268403711,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:31Z
268403715,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:31Z
268403719,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:31Z
268403723,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:32Z
268403727,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:32Z
268403743,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:33Z
268403752,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:33Z
268403760,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:34Z
268403768,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:34Z
268403781,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:35Z
268403787,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:35Z
268403791,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:36Z
268403795,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:36Z
268403799,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:37Z
268403803,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:37Z
268403807,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:38Z
268403811,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:38Z
268403815,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:39Z
268403819,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:39Z
268403823,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:40Z
268403827,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:40Z
268403831,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:40Z
268403835,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:41Z
268403839,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:41Z
268403843,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:42Z
